Date,Time,Lat,Lon,Wind,Pressure
Jun 19,21:00 GMT,24.7,-88.7,40,1002
Jun 20,00:00 GMT,24.0,-89.2,40,1000
Jun 20,03:00 GMT,24.4,-89.5,40,1000
Jun 20,06:00 GMT,24.5,-89.9,40,1000
Jun 20,09:00 GMT,24.8,-90.1,40,1000
Jun 20,12:00 GMT,25.4,-90.3,40,999
Jun 20,15:00 GMT,25.9,-90.5,40,999
Jun 20,18:00 GMT,25.9,-90.5,45,999
Jun 20,21:00 GMT,25.7,-90.6,45,999
Jun 21,00:00 GMT,26.2,-90.3,45,997
Jun 21,03:00 GMT,26.4,-91.0,60,997
Jun 21,06:00 GMT,26.8,-91.4,60,997
Jun 21,09:00 GMT,27.3,-91.9,60,997
Jun 21,12:00 GMT,27.5,-92.2,60,996
Jun 21,15:00 GMT,27.6,-92.6,50,996
Jun 21,18:00 GMT,27.7,-92.9,50,995
Jun 21,21:00 GMT,28.2,-93.2,50,994
Jun 22,00:00 GMT,28.3,-93.3,50,992
Jun 22,03:00 GMT,28.6,-93.4,50,992
Jun 22,06:00 GMT,29.2,-93.6,45,992
Jun 22,09:00 GMT,29.9,-93.6,40,994
Jun 22,12:00 GMT,30.5,-93.7,40,994
Jun 22,15:00 GMT,31.0,-93.5,35,997
Jun 22,21:00 GMT,31.9,-93.7,25,999
Jun 23,03:00 GMT,33.1,-93.5,15,1000
Jun 23,09:00 GMT,34.5,-92.0,15,1000
Jun 23,15:00 GMT,36.1,-89.6,35,1002
Jun 23,21:00 GMT,37.4,-86.1,25,1002
Jun 24,03:00 GMT,38.0,-81.5,15,1004
Jun 24,09:00 GMT,39.2,-76.9,25,1001
