Date,Time,Lat,Lon,Wind,Pressure
Aug 6,21:00 GMT,15.6,-82.0,35,1008
Aug 7,00:00 GMT,16.1,-82.7,35,1007
Aug 7,03:00 GMT,16.4,-83.0,40,1006
Aug 7,06:00 GMT,16.8,-83.7,45,1005
Aug 7,09:00 GMT,17.1,-84.2,45,1005
Aug 7,12:00 GMT,17.3,-84.7,50,1004
Aug 7,15:00 GMT,17.7,-85.1,60,999
Aug 7,18:00 GMT,18.0,-85.4,60,999
Aug 7,21:00 GMT,18.6,-85.9,60,998
Aug 8,00:00 GMT,18.8,-86.5,60,995
Aug 8,03:00 GMT,19.1,-87.3,60,995
Aug 8,04:00 GMT,19.1,-87.5,60,995
Aug 8,06:00 GMT,19.1,-88.0,60,996
Aug 8,09:00 GMT,19.3,-88.5,50,998
Aug 8,12:00 GMT,19.5,-89.1,45,999
Aug 8,15:00 GMT,19.6,-89.6,45,1001
Aug 8,18:00 GMT,20.0,-89.9,40,1002
Aug 8,21:00 GMT,20.2,-90.3,40,1001
Aug 9,00:00 GMT,20.3,-90.9,40,999
Aug 9,03:00 GMT,20.3,-91.3,50,996
Aug 9,06:00 GMT,20.4,-92.1,60,994
Aug 9,09:00 GMT,20.4,-92.7,65,994
Aug 9,12:00 GMT,20.2,-93.4,70,987
Aug 9,15:00 GMT,20.2,-93.9,70,985
Aug 9,18:00 GMT,20.2,-94.4,70,984
Aug 9,21:00 GMT,20.1,-94.9,75,984
Aug 10,00:00 GMT,20.2,-95.4,85,983
Aug 10,03:00 GMT,20.2,-96.1,85,985
Aug 10,06:00 GMT,20.0,-96.7,85,988
Aug 10,09:00 GMT,19.9,-97.6,70,992
Aug 10,12:00 GMT,19.8,-98.3,40,997
Aug 10,15:00 GMT,19.7,-99.2,30,1000
