Date,Time,Lat,Lon,Wind,Pressure
Aug 13,03:00 GMT,25.3,-70.3,35,1011
Aug 13,09:00 GMT,26.5,-70.9,35,1011
Aug 13,15:00 GMT,27.4,-71.5,35,1011
Aug 13,21:00 GMT,28.1,-71.7,40,1011
Aug 14,03:00 GMT,28.8,-71.9,45,1009
Aug 14,09:00 GMT,29.7,-72.2,45,1009
Aug 14,15:00 GMT,30.3,-72.2,60,1002
Aug 14,21:00 GMT,30.6,-72.3,70,992
Aug 15,03:00 GMT,31.2,-72.3,75,986
Aug 15,09:00 GMT,31.8,-72.5,75,986
Aug 15,15:00 GMT,32.8,-72.0,75,986
Aug 15,21:00 GMT,33.7,-71.2,80,981
Aug 16,03:00 GMT,34.8,-70.3,85,979
Aug 16,09:00 GMT,36.0,-68.4,90,975
Aug 16,15:00 GMT,37.4,-65.7,90,975
Aug 16,21:00 GMT,38.7,-62.4,100,970
Aug 17,03:00 GMT,40.1,-58.4,105,967
Aug 17,09:00 GMT,41.7,-54.0,100,968
Aug 17,15:00 GMT,43.2,-50.0,80,975
Aug 17,21:00 GMT,44.8,-46.0,65,985
