Date,Time,Lat,Lon,Wind,Pressure
Aug 17,15:00 GMT,13.1,-55.1,35,1008
Aug 17,18:00 GMT,13.1,-55.1,35,1007
Aug 17,21:00 GMT,13.0,-55.8,40,1004
Aug 18,00:00 GMT,12.9,-56.5,40,1005
Aug 18,03:00 GMT,13.0,-57.4,40,1005
Aug 18,06:00 GMT,13.0,-58.1,40,1005
Aug 18,09:00 GMT,13.1,-59.1,40,1004
Aug 18,12:00 GMT,13.0,-60.3,40,1005
Aug 18,15:00 GMT,13.1,-61.3,40,1005
Aug 18,18:00 GMT,13.2,-62.1,40,1005
Aug 18,21:00 GMT,13.4,-62.9,40,1005
Aug 19,03:00 GMT,13.7,-64.1,40,1005
Aug 19,09:00 GMT,13.8,-65.9,40,1005
Aug 19,15:00 GMT,13.9,-68.1,40,1007
Aug 19,21:00 GMT,14.1,-70.0,35,1007
Aug 20,03:00 GMT,14.3,-71.8,35,1007
Aug 23,15:00 GMT,21.5,-92.5,35,1006
Aug 23,18:00 GMT,21.5,-92.5,35,1005
Aug 23,21:00 GMT,21.6,-92.6,35,1005
Aug 24,00:00 GMT,21.7,-92.5,35,1003
Aug 24,03:00 GMT,21.9,-92.6,35,1002
Aug 24,04:00 GMT,22.0,-92.6,40,1002
Aug 24,06:00 GMT,22.6,-92.6,45,1001
Aug 24,09:00 GMT,23.2,-92.8,45,995
Aug 24,12:00 GMT,23.8,-93.0,60,986
Aug 24,15:00 GMT,24.0,-93.3,65,982
Aug 24,17:00 GMT,24.3,-93.5,80,981
Aug 24,18:00 GMT,24.4,-93.6,85,979
Aug 24,21:00 GMT,24.7,-93.9,85,976
Aug 25,00:00 GMT,25.0,-94.3,85,974
Aug 25,03:00 GMT,25.2,-94.6,85,973
Aug 25,04:00 GMT,25.4,-94.8,85,971
Aug 25,05:00 GMT,25.5,-94.9,100,967
Aug 25,06:00 GMT,25.6,-95.1,105,967
Aug 25,07:00 GMT,25.8,-95.2,105,967
Aug 25,08:00 GMT,25.8,-95.4,105,967
Aug 25,09:00 GMT,25.9,-95.4,105,967
Aug 25,10:00 GMT,26.1,-95.5,105,958
Aug 25,11:00 GMT,26.3,-95.7,110,952
Aug 25,12:00 GMT,26.3,-95.8,110,950
Aug 25,13:00 GMT,26.4,-95.9,110,950
Aug 25,14:00 GMT,26.5,-95.9,110,948
Aug 25,15:00 GMT,26.7,-96.0,110,947
Aug 25,16:00 GMT,26.8,-96.2,110,947
