Date,Time,Lat,Lon,Wind,Pressure
Sep 5,21:00 GMT,22.4,-96.7,35,1008
Sep 6,03:00 GMT,22.2,-96.4,35,1008
Sep 6,09:00 GMT,22.1,-96.3,40,1006
Sep 6,15:00 GMT,21.7,-95.9,45,1004
Sep 6,21:00 GMT,21.7,-95.1,75,992
Sep 7,00:00 GMT,21.7,-94.9,75,992
Sep 7,03:00 GMT,21.7,-94.8,80,989
Sep 7,06:00 GMT,21.6,-94.7,80,989
Sep 7,09:00 GMT,21.5,-94.5,80,989
Sep 7,12:00 GMT,21.6,-94.6,80,983
Sep 7,15:00 GMT,21.6,-94.6,80,980
Sep 7,18:00 GMT,21.6,-94.6,80,980
Sep 7,21:00 GMT,21.6,-94.6,80,980
Sep 8,00:00 GMT,21.6,-94.7,80,980
Sep 8,03:00 GMT,21.5,-95.1,85,982
Sep 8,06:00 GMT,21.4,-95.2,85,982
Sep 8,09:00 GMT,21.3,-95.4,90,977
Sep 8,12:00 GMT,21.1,-95.6,90,977
Sep 8,15:00 GMT,21.0,-95.8,100,975
Sep 8,18:00 GMT,21.1,-96.2,105,974
Sep 8,21:00 GMT,21.0,-96.5,105,972
Sep 9,00:00 GMT,20.9,-96.8,105,972
Sep 9,03:00 GMT,20.6,-97.2,75,988
Sep 9,06:00 GMT,20.3,-97.4,45,998
Sep 9,09:00 GMT,20.3,-97.5,40,1001
Sep 9,12:00 GMT,20.1,-97.7,35,1004
Sep 9,15:00 GMT,20.0,-97.9,35,1004
