Date,Time,Lat,Lon,Wind,Pressure
Sep 15,03:00 GMT,10.7,-25.4,35,1010
Sep 15,09:00 GMT,10.6,-27.3,35,1008
Sep 15,15:00 GMT,11.4,-28.3,35,1008
Sep 15,21:00 GMT,12.6,-29.7,35,1009
Sep 16,03:00 GMT,12.8,-30.7,35,1009
Sep 16,09:00 GMT,12.6,-32.1,35,1008
Sep 16,15:00 GMT,12.5,-33.1,40,1007
Sep 16,21:00 GMT,12.6,-34.2,40,1007
Sep 17,03:00 GMT,12.8,-34.9,40,1007
Sep 17,09:00 GMT,13.0,-35.4,40,1007
Sep 17,15:00 GMT,13.0,-36.7,35,1007
Sep 17,21:00 GMT,13.2,-37.3,35,1007
Sep 18,03:00 GMT,13.6,-38.5,35,1007
Sep 18,09:00 GMT,14.1,-39.8,35,1007
Sep 18,15:00 GMT,14.1,-40.6,35,1007
Sep 18,21:00 GMT,15.0,-42.3,35,1007
Sep 19,03:00 GMT,15.1,-43.0,30,1007
Sep 22,21:00 GMT,30.8,-48.9,35,1014
Sep 23,03:00 GMT,31.5,-49.0,40,1009
Sep 23,09:00 GMT,31.9,-49.2,40,1009
Sep 23,15:00 GMT,31.9,-49.4,45,1007
Sep 23,21:00 GMT,32.1,-49.8,45,1007
Sep 24,03:00 GMT,31.9,-50.1,50,1003
Sep 24,06:30 GMT,31.9,-50.1,75,987
Sep 24,09:00 GMT,31.8,-50.1,85,983
Sep 24,15:00 GMT,31.4,-49.9,90,982
Sep 24,21:00 GMT,31.3,-49.7,90,980
Sep 25,03:00 GMT,31.1,-49.5,90,980
Sep 25,09:00 GMT,31.1,-49.4,90,980
Sep 25,15:00 GMT,30.8,-49.9,90,980
Sep 25,21:00 GMT,30.5,-50.6,85,983
Sep 26,03:00 GMT,30.2,-51.5,90,979
Sep 26,09:00 GMT,30.0,-52.5,100,977
Sep 26,15:00 GMT,29.9,-53.7,105,975
Sep 26,21:00 GMT,29.9,-54.6,110,971
Sep 27,03:00 GMT,30.0,-55.5,110,971
Sep 27,09:00 GMT,30.2,-56.3,110,971
Sep 27,15:00 GMT,30.6,-56.8,115,963
Sep 27,21:00 GMT,31.2,-57.1,115,962
Sep 28,03:00 GMT,31.7,-57.3,110,966
Sep 28,09:00 GMT,32.5,-57.2,110,966
Sep 28,15:00 GMT,33.7,-57.0,100,973
Sep 28,21:00 GMT,35.1,-55.8,90,977
Sep 29,03:00 GMT,36.3,-54.6,80,984
Sep 29,09:00 GMT,38.3,-52.4,75,987
Sep 29,15:00 GMT,40.1,-49.5,70,992
Sep 29,21:00 GMT,42.2,-46.0,65,996
Sep 30,03:00 GMT,44.3,-42.8,60,998
Sep 30,09:00 GMT,46.7,-35.6,50,998
