Date,Time,Lat,Lon,Wind,Pressure
Sep 16,15:00 GMT,12.2,-50.5,35,1008
Sep 16,18:00 GMT,11.9,-51.6,35,1006
Sep 16,21:00 GMT,12.3,-52.6,50,1002
Sep 17,00:00 GMT,12.4,-53.0,50,1002
Sep 17,03:00 GMT,12.5,-53.7,50,1002
Sep 17,06:00 GMT,12.7,-54.4,50,1000
Sep 17,09:00 GMT,13.0,-54.9,65,994
Sep 17,12:00 GMT,13.3,-55.6,65,994
Sep 17,15:00 GMT,13.5,-56.2,65,994
Sep 17,18:00 GMT,13.6,-56.9,65,994
Sep 17,21:00 GMT,13.8,-57.5,75,982
Sep 18,00:00 GMT,14.0,-57.9,80,982
Sep 18,03:00 GMT,14.2,-58.4,85,979
Sep 18,06:00 GMT,14.4,-59.0,90,977
Sep 18,09:00 GMT,14.6,-59.5,90,977
Sep 18,12:00 GMT,14.6,-59.7,110,967
Sep 18,15:00 GMT,14.7,-60.1,120,959
Sep 18,18:00 GMT,14.9,-60.4,125,956
Sep 18,21:00 GMT,15.1,-60.7,130,950
Sep 18,22:00 GMT,15.2,-60.8,130,950
Sep 18,23:00 GMT,15.3,-60.9,130,950
Sep 18,23:45 GMT,15.3,-61.1,160,929
Sep 19,00:00 GMT,15.3,-61.1,160,925
Sep 19,01:00 GMT,15.3,-61.2,160,924
Sep 19,01:35 GMT,15.3,-61.3,160,924
Sep 19,03:00 GMT,15.5,-61.4,160,924
Sep 19,06:00 GMT,15.7,-61.9,155,942
Sep 19,09:00 GMT,16.0,-62.3,155,934
Sep 19,09:10 GMT,16.0,-62.3,160,930
Sep 19,12:00 GMT,16.2,-62.8,160,933
Sep 19,15:00 GMT,16.3,-63.1,160,927
Sep 19,18:00 GMT,16.6,-63.6,160,927
Sep 19,18:15 GMT,16.6,-63.6,165,920
Sep 19,19:00 GMT,16.7,-63.7,165,920
Sep 19,20:00 GMT,16.7,-63.8,165,920
Sep 19,21:00 GMT,16.8,-64.0,165,916
Sep 19,22:00 GMT,16.8,-64.0,165,913
Sep 19,23:00 GMT,16.9,-64.1,175,909
Sep 20,00:00 GMT,17.0,-64.2,175,909
Sep 20,01:00 GMT,17.1,-64.4,175,909
Sep 20,02:00 GMT,17.2,-64.5,175,909
Sep 20,03:00 GMT,17.3,-64.7,175,909
Sep 20,04:00 GMT,17.4,-64.9,175,908
Sep 20,05:00 GMT,17.5,-65.0,175,910
Sep 20,06:00 GMT,17.6,-65.1,165,910
Sep 20,07:00 GMT,17.7,-65.3,160,913
Sep 20,08:00 GMT,17.8,-65.4,160,917
Sep 20,09:00 GMT,17.9,-65.6,155,917
Sep 20,10:00 GMT,18.0,-65.8,155,917
Sep 20,10:35 GMT,18.0,-65.8,155,917
