Date,Time,Lat,Lon,Wind,Pressure
Oct 4,15:00 GMT,12.2,-81.9,35,1005
Oct 4,18:00 GMT,12.3,-82.3,35,1005
Oct 4,21:00 GMT,12.5,-82.5,35,1005
Oct 5,00:00 GMT,12.6,-82.6,35,1005
Oct 5,03:00 GMT,12.8,-82.7,35,1004
Oct 5,06:00 GMT,13.0,-83.0,35,1004
Oct 5,09:00 GMT,13.3,-83.3,35,1004
Oct 5,12:00 GMT,13.9,-83.4,40,999
Oct 5,15:00 GMT,14.3,-83.7,40,999
Oct 5,18:00 GMT,14.5,-84.0,40,1001
Oct 5,21:00 GMT,14.9,-84.3,40,1000
Oct 6,00:00 GMT,15.3,-84.5,40,1000
Oct 6,03:00 GMT,15.8,-84.7,40,1000
Oct 6,06:00 GMT,16.1,-84.8,45,999
Oct 6,09:00 GMT,16.9,-85.1,45,999
Oct 6,12:00 GMT,17.8,-84.8,45,996
Oct 6,15:00 GMT,18.7,-85.0,50,996
Oct 6,18:00 GMT,19.4,-85.3,50,996
Oct 6,21:00 GMT,20.3,-85.7,60,993
Oct 7,00:00 GMT,21.4,-85.9,65,990
Oct 7,03:00 GMT,22.3,-86.4,70,990
Oct 7,03:30 GMT,22.4,-86.3,75,988
Oct 7,06:00 GMT,23.5,-86.5,80,987
Oct 7,09:00 GMT,24.5,-87.0,80,987
Oct 7,12:00 GMT,25.7,-88.0,85,986
Oct 7,15:00 GMT,26.6,-88.4,90,984
Oct 7,18:00 GMT,27.6,-88.9,90,982
Oct 7,21:00 GMT,28.4,-89.1,90,981
Oct 8,00:00 GMT,29.0,-89.2,85,982
Oct 8,03:00 GMT,29.9,-89.1,85,984
Oct 8,05:30 GMT,30.4,-89.0,85,984
Oct 8,06:00 GMT,30.5,-88.9,85,984
Oct 8,09:00 GMT,31.5,-88.4,70,986
Oct 8,12:00 GMT,32.0,-88.0,45,994
Oct 8,15:00 GMT,33.1,-87.3,35,996
Oct 8,21:00 GMT,35.0,-86.5,35,997
Oct 9,03:00 GMT,36.4,-85.5,35,1002
Oct 9,09:00 GMT,40.7,-81.7,15,1004
Oct 9,15:00 GMT,41.8,-79.5,30,1006
