Date,Time,Lat,Lon,Wind,Pressure
Oct 9,09:00 GMT,31.1,-39.9,35,1008
Oct 9,15:00 GMT,31.4,-39.9,40,1008
Oct 9,21:00 GMT,31.5,-39.6,45,1005
Oct 10,03:00 GMT,32.3,-39.0,50,1002
Oct 10,09:00 GMT,31.9,-38.8,50,1002
Oct 10,15:00 GMT,31.5,-38.3,50,1002
Oct 10,21:00 GMT,31.1,-38.0,60,1001
Oct 11,03:00 GMT,30.7,-37.6,50,1002
Oct 11,09:00 GMT,30.2,-37.0,65,996
Oct 11,15:00 GMT,30.0,-36.5,70,992
Oct 11,21:00 GMT,30.0,-36.1,75,990
Oct 12,03:00 GMT,30.0,-35.7,85,986
Oct 12,09:00 GMT,30.3,-35.6,85,986
Oct 12,15:00 GMT,30.5,-35.6,90,978
Oct 12,21:00 GMT,30.4,-35.5,100,973
